full_name,name,source_corpus,word_embedding_type,preprocess_text,input_size,hidden_size,output_size,dropout,batch_size,learning_rate,epochs,weight_decay,accuracy,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
MLP-fasttext-model_train_base.bin-run-1,MLP-fasttext-model_train_base.bin,tripadvisor,fasttext,False,100,32,4,0.1,32,0.005,50,0.0001,0.746076458752515,0.5132743362831859,0.40418118466898956,0.45224171539961017,287,0.742310889443059,0.8644724104549855,0.798747763864043,1033,0.8350983358547656,0.7624309392265194,0.7971119133574007,724,0.7417721518987341,0.6643990929705216,0.7009569377990431,441,0.7081139283699361,0.673870906830254,0.6872645826050242,2485,0.7427966186938214,0.746076458752515,0.7408977252440164,2485
MLP-fasttext-model_train_clean.bin-run-1,MLP-fasttext-model_train_clean.bin,tripadvisor,fasttext,True,100,32,4,0.1,32,0.005,50,0.0001,0.7243460764587525,0.5196850393700787,0.22996515679442509,0.3188405797101449,287,0.6995481927710844,0.8993223620522749,0.7869546802202456,1033,0.7831149927219796,0.7430939226519337,0.7625797306874557,724,0.7784256559766763,0.6054421768707483,0.6811224489795917,441,0.6951934702099548,0.6194559045923456,0.6373743598993595,2485,0.7171202649690827,0.7243460764587525,0.7070077086768786,2485
MLP-fasttext-model_wiki_base.bin-run-1,MLP-fasttext-model_wiki_base.bin,wikipedia,fasttext,False,100,32,4,0.1,32,0.005,50,0.0001,0.6595573440643863,0.543859649122807,0.10801393728222997,0.1802325581395349,287,0.6160889470241988,0.9119070667957405,0.7353629976580797,1033,0.7277486910994765,0.5759668508287292,0.6430223592906708,724,0.7638036809815951,0.564625850340136,0.6492829204693612,441,0.6628752420570194,0.540128426311709,0.5519752088894117,2485,0.6664929888302403,0.6595573440643863,0.6290698900685218,2485
MLP-fasttext-model_wiki_clean.bin-run-1,MLP-fasttext-model_wiki_clean.bin,wikipedia,fasttext,True,100,32,4,0.1,32,0.005,50,0.0001,0.6253521126760564,0.23529411764705882,0.013937282229965157,0.026315789473684213,287,0.6536544850498339,0.7618586640851888,0.7036209208761735,1033,0.5910165484633569,0.6906077348066298,0.6369426751592355,724,0.6291866028708134,0.5963718820861678,0.6123399301513387,441,0.5272879385077658,0.5156938908019879,0.4948048289151079,2485,0.582745178178947,0.6253521126760564,0.5897712067831232,2485
MLP-word2vec-word2vec_train_base.model-run-1,MLP-word2vec-word2vec_train_base.model,tripadvisor,word2vec,False,100,32,4,0.1,32,0.005,50,0.0001,0.7030181086519115,0.75,0.11498257839721254,0.19939577039274925,287,0.6616702355460385,0.8973862536302033,0.7617091207888251,1033,0.7469553450608931,0.7624309392265194,0.7546138072453863,724,0.7807308970099668,0.5328798185941043,0.6334231805929919,441,0.7348391194042246,0.5769198974620099,0.5872854697549881,2485,0.7178484300702374,0.7030181086519115,0.6719324454586496,2485
MLP-word2vec-word2vec_train_clean.model-run-1,MLP-word2vec-word2vec_train_clean.model,tripadvisor,word2vec,True,100,32,4,0.1,32,0.005,50,0.0001,0.6885311871227364,0.6333333333333333,0.06620209059233449,0.1198738170347003,287,0.676605504587156,0.856727976766699,0.7560871422469032,1033,0.710828025477707,0.7707182320441989,0.7395626242544732,724,0.6878453038674033,0.564625850340136,0.6201743462017434,441,0.6771530418163998,0.5645685374358421,0.558924482434455,2485,0.683573208191784,0.6885311871227364,0.6536748611932465,2485
MLP-word2vec-word2vec_wiki_base.model-run-1,MLP-word2vec-word2vec_wiki_base.model,wikipedia,word2vec,False,100,32,4,0.1,32,0.005,50,0.0001,0.6080482897384306,0.5841584158415841,0.20557491289198607,0.3041237113402062,287,0.5768716577540107,0.8354307841239109,0.6824831949387109,1033,0.6357827476038339,0.5497237569060773,0.5896296296296296,724,0.7290076335877863,0.4331065759637188,0.5433854907539118,441,0.6314551136968037,0.5059590074714233,0.5299055066656146,2485,0.6218756392289002,0.6080482897384306,0.5870476856340663,2485
MLP-word2vec-word2vec_wiki_clean.model-run-1,MLP-word2vec-word2vec_wiki_clean.model,wikipedia,word2vec,True,100,32,4,0.1,32,0.005,50,0.0001,0.6032193158953723,0.75,0.020905923344947737,0.04067796610169492,287,0.5988455988455988,0.8034849951597289,0.6862339809838777,1033,0.578167115902965,0.5925414364640884,0.5852660300136426,724,0.670487106017192,0.5306122448979592,0.5924050632911392,441,0.649374955191439,0.4868861499666811,0.4761457600975886,2485,0.6229920761669344,0.6032193158953723,0.5656086588606848,2485
